epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5328,1.24188,3.44973,1.51982,0.00355,0.9,0.03954,0.02251,0.76548,3.64677,1.32179,1.667e-05,1.667e-05,1.667e-05
2,26.7226,1.16642,3.38644,1.36374,0.00405,1,0.08292,0.06814,0.66719,3.58505,1.18358,3.35067e-05,3.35067e-05,3.35067e-05
3,39.1339,0.93479,3.22579,1.19752,0.00394,1,0.24463,0.21725,0.59615,3.58348,1.11184,2.8339e-05,2.8339e-05,2.8339e-05
